y,d,s,c,fixorder,g,sub,inexp_tot,exp_tot,total_unk_tot,total_tot,inexp_r_tot,ineff_tot,otheval_tot,noeval_tot,ineff_r_tot
1718,0,0,All Schools,1,Totals for All Schools,Teachers,45868,116841,5463,168172,27.3,157,154227,13788,0.09
1718,0,0,All Schools,1,Totals for All Schools,Principals,416,2295,580,3291,12.6,2,2161,1128,0.06
1718,0,0,All Schools,1,Totals for All Schools,Other,1577,2108,1817,5502,28.7,3,3589,1910,0.05
1718,6,0,All Schools,1,Totals for All Schools,Teachers,4015,11363,477,15855,25.3,6,15149,700,0.04
1718,6,0,All Schools,1,Totals for All Schools,Principals,8,239,33,280,2.9,0,265,15,0
1718,6,0,All Schools,1,Totals for All Schools,Other,150,301,96,547,27.4,0,496,51,0
1819,0,0,All Schools,1,Totals for All Schools,Teachers,45856,120086,4243,170185,26.9,131,155310,14744,0.08
1819,0,0,All Schools,1,Totals for All Schools,Principals,388,2388,597,3373,11.5,1,2579,793,0.03
1819,0,0,All Schools,1,Totals for All Schools,Other,1587,2282,1874,5743,27.6,0,4269,1474,0
1819,6,0,All Schools,1,Totals for All Schools,Teachers,3864,11452,385,15701,24.6,11,15038,652,0.07
1819,6,0,All Schools,1,Totals for All Schools,Principals,9,245,31,285,3.2,0,279,6,0
1819,6,0,All Schools,1,Totals for All Schools,Other,143,309,93,545,26.2,0,504,41,0
1718,0,0,Title I Schools,2,Title I Classifications,Teachers,26390,59834,2602,88826,29.7,117,81098,7611,0.13
1718,0,0,Title I Schools,2,Title I Classifications,Principals,212,1344,314,1870,11.3,0,1174,696,0
1718,0,0,Title I Schools,2,Title I Classifications,Other,860,1059,951,2870,30,3,1749,1118,0.1
1718,6,0,Title I Schools,2,Title I Classifications,Teachers,2215,5526,387,8128,27.3,4,7650,474,0.05
1718,6,0,Title I Schools,2,Title I Classifications,Principals,1,145,19,165,0.6,0,154,11,0
1718,6,0,Title I Schools,2,Title I Classifications,Other,84,132,37,253,33.2,0,231,22,0
1819,0,0,Title I Schools,2,Title I Classifications,Teachers,27519,64130,1768,93417,29.5,103,84676,8638,0.11
1819,0,0,Title I Schools,2,Title I Classifications,Principals,213,1426,331,1970,10.8,1,1521,448,0.05
1819,0,0,Title I Schools,2,Title I Classifications,Other,881,1214,1024,3119,28.2,0,2294,825,0
1819,6,0,Title I Schools,2,Title I Classifications,Teachers,2419,6018,283,8720,27.7,10,8234,476,0.11
1819,6,0,Title I Schools,2,Title I Classifications,Principals,4,157,21,182,2.2,0,179,3,0
1819,6,0,Title I Schools,2,Title I Classifications,Other,84,150,54,288,29.2,0,257,31,0
1718,0,0,Non-Title I Schools,3,Title I Classifications,Teachers,19478,57007,2861,79346,24.5,40,73129,6177,0.05
1718,0,0,Non-Title I Schools,3,Title I Classifications,Principals,204,951,266,1421,14.4,2,987,432,0.14
1718,0,0,Non-Title I Schools,3,Title I Classifications,Other,717,1049,866,2632,27.2,0,1840,792,0
1718,6,0,Non-Title I Schools,3,Title I Classifications,Teachers,1800,5837,90,7727,23.3,2,7499,226,0.03
1718,6,0,Non-Title I Schools,3,Title I Classifications,Principals,7,94,14,115,6.1,0,111,4,0
1718,6,0,Non-Title I Schools,3,Title I Classifications,Other,66,169,59,294,22.4,0,265,29,0
1819,0,0,Non-Title I Schools,3,Title I Classifications,Teachers,18337,55956,2475,76768,23.9,28,70634,6106,0.04
1819,0,0,Non-Title I Schools,3,Title I Classifications,Principals,175,962,266,1403,12.5,0,1058,345,0
1819,0,0,Non-Title I Schools,3,Title I Classifications,Other,706,1068,850,2624,26.9,0,1975,649,0
1819,6,0,Non-Title I Schools,3,Title I Classifications,Teachers,1445,5434,102,6981,20.7,1,6804,176,0.01
1819,6,0,Non-Title I Schools,3,Title I Classifications,Principals,5,88,10,103,4.9,0,100,3,0
1819,6,0,Non-Title I Schools,3,Title I Classifications,Other,59,159,39,257,23,0,247,10,0
1718,0,0,High Poverty Schools,4,Poverty Classifications,Teachers,12965,21314,1184,35463,36.6,57,31656,3750,0.16
1718,0,0,High Poverty Schools,4,Poverty Classifications,Principals,108,575,164,847,12.8,0,584,263,0
1718,0,0,High Poverty Schools,4,Poverty Classifications,Other,365,297,517,1179,31,2,801,376,0.17
1718,6,0,High Poverty Schools,4,Poverty Classifications,Teachers,639,1340,30,2009,31.8,0,1903,106,0
1718,6,0,High Poverty Schools,4,Poverty Classifications,Principals,1,48,6,55,1.8,0,52,3,0
1718,6,0,High Poverty Schools,4,Poverty Classifications,Other,31,26,12,69,44.9,0,60,9,0
1819,0,0,High Poverty Schools,4,Poverty Classifications,Teachers,11620,21336,1055,34011,34.2,46,29917,4048,0.14
1819,0,0,High Poverty Schools,4,Poverty Classifications,Principals,90,586,181,857,10.5,1,657,199,0.12
1819,0,0,High Poverty Schools,4,Poverty Classifications,Other,327,346,503,1176,27.8,0,864,312,0
1819,6,0,High Poverty Schools,4,Poverty Classifications,Teachers,538,1119,29,1686,31.9,0,1600,86,0
1819,6,0,High Poverty Schools,4,Poverty Classifications,Principals,1,42,3,46,2.2,0,44,2,0
1819,6,0,High Poverty Schools,4,Poverty Classifications,Other,24,24,6,54,44.4,0,52,2,0
1718,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Teachers,23275,67206,2476,92957,25,88,86579,6290,0.09
1718,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Principals,196,1266,251,1713,11.4,2,1049,662,0.12
1718,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Other,899,1340,848,3087,29.1,1,1916,1170,0.03
1718,6,0,Mid-Range Poverty Schools,5,Poverty Classifications,Teachers,2604,7394,396,10394,25.1,2,9911,481,0.02
1718,6,0,Mid-Range Poverty Schools,5,Poverty Classifications,Principals,5,150,20,175,2.9,0,164,11,0
1718,6,0,Mid-Range Poverty Schools,5,Poverty Classifications,Other,99,217,47,363,27.3,0,336,27,0
1819,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Teachers,24684,67818,1745,94247,26.2,66,87059,7122,0.07
1819,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Principals,203,1279,258,1740,11.7,0,1349,391,0
1819,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Other,902,1410,901,3213,28.1,0,2438,775,0
1819,6,0,Mid-Range Poverty Schools,5,Poverty Classifications,Teachers,2730,7298,292,10320,26.5,11,9858,451,0.11
1819,6,0,Mid-Range Poverty Schools,5,Poverty Classifications,Principals,5,157,23,185,2.7,0,183,2,0
1819,6,0,Mid-Range Poverty Schools,5,Poverty Classifications,Other,97,215,64,376,25.8,0,345,31,0
