y,d,s,c,fixorder,g,sub,inexp_tot,exp_tot,total_unk_tot,total_tot,inexp_r_tot,ineff_tot,otheval_tot,noeval_tot,ineff_r_tot
1718,0,0,All Schools,1,Totals for All Schools,Teachers,45868,116841,5463,168172,27.3,157,154227,13788,0.09
1718,0,0,All Schools,1,Totals for All Schools,Principals,416,2295,580,3291,12.6,2,2161,1128,0.06
1718,0,0,All Schools,1,Totals for All Schools,Other,1577,2108,1817,5502,28.7,3,3589,1910,0.05
1718,29,0,All Schools,1,Totals for All Schools,Teachers,3776,10432,0,14208,26.6,68,13190,950,0.48
1718,29,0,All Schools,1,Totals for All Schools,Principals,7,230,34,271,2.6,0,23,248,0
1718,29,0,All Schools,1,Totals for All Schools,Other,79,139,247,465,17,0,23,442,0
1819,0,0,All Schools,1,Totals for All Schools,Teachers,45856,120086,4243,170185,26.9,131,155310,14744,0.08
1819,0,0,All Schools,1,Totals for All Schools,Principals,388,2388,597,3373,11.5,1,2579,793,0.03
1819,0,0,All Schools,1,Totals for All Schools,Other,1587,2282,1874,5743,27.6,0,4269,1474,0
1819,29,0,All Schools,1,Totals for All Schools,Teachers,3239,10520,3,13762,23.5,61,12796,905,0.44
1819,29,0,All Schools,1,Totals for All Schools,Principals,3,233,36,272,1.1,0,22,250,0
1819,29,0,All Schools,1,Totals for All Schools,Other,147,197,130,474,31,0,35,439,0
1718,0,0,Title I Schools,2,Title I Classifications,Teachers,26390,59834,2602,88826,29.7,117,81098,7611,0.13
1718,0,0,Title I Schools,2,Title I Classifications,Principals,212,1344,314,1870,11.3,0,1174,696,0
1718,0,0,Title I Schools,2,Title I Classifications,Other,860,1059,951,2870,30,3,1749,1118,0.1
1718,29,0,Title I Schools,2,Title I Classifications,Teachers,1973,5013,0,6986,28.2,49,6434,503,0.7
1718,29,0,Title I Schools,2,Title I Classifications,Principals,6,126,14,146,4.1,0,5,141,0
1718,29,0,Title I Schools,2,Title I Classifications,Other,36,69,134,239,15.1,0,6,233,0
1819,0,0,Title I Schools,2,Title I Classifications,Teachers,27519,64130,1768,93417,29.5,103,84676,8638,0.11
1819,0,0,Title I Schools,2,Title I Classifications,Principals,213,1426,331,1970,10.8,1,1521,448,0.05
1819,0,0,Title I Schools,2,Title I Classifications,Other,881,1214,1024,3119,28.2,0,2294,825,0
1819,29,0,Title I Schools,2,Title I Classifications,Teachers,1804,5454,3,7261,24.8,49,6717,495,0.67
1819,29,0,Title I Schools,2,Title I Classifications,Principals,3,138,16,157,1.9,0,7,150,0
1819,29,0,Title I Schools,2,Title I Classifications,Other,85,103,80,268,31.7,0,13,255,0
1718,0,0,Non-Title I Schools,3,Title I Classifications,Teachers,19478,57007,2861,79346,24.5,40,73129,6177,0.05
1718,0,0,Non-Title I Schools,3,Title I Classifications,Principals,204,951,266,1421,14.4,2,987,432,0.14
1718,0,0,Non-Title I Schools,3,Title I Classifications,Other,717,1049,866,2632,27.2,0,1840,792,0
1718,29,0,Non-Title I Schools,3,Title I Classifications,Teachers,1803,5419,0,7222,25,19,6756,447,0.26
1718,29,0,Non-Title I Schools,3,Title I Classifications,Principals,1,104,20,125,0.8,0,18,107,0
1718,29,0,Non-Title I Schools,3,Title I Classifications,Other,43,70,113,226,19,0,17,209,0
1819,0,0,Non-Title I Schools,3,Title I Classifications,Teachers,18337,55956,2475,76768,23.9,28,70634,6106,0.04
1819,0,0,Non-Title I Schools,3,Title I Classifications,Principals,175,962,266,1403,12.5,0,1058,345,0
1819,0,0,Non-Title I Schools,3,Title I Classifications,Other,706,1068,850,2624,26.9,0,1975,649,0
1819,29,0,Non-Title I Schools,3,Title I Classifications,Teachers,1435,5066,0,6501,22.1,12,6079,410,0.18
1819,29,0,Non-Title I Schools,3,Title I Classifications,Principals,0,95,20,115,0,0,15,100,0
1819,29,0,Non-Title I Schools,3,Title I Classifications,Other,62,94,50,206,30.1,0,22,184,0
1718,0,0,High Poverty Schools,4,Poverty Classifications,Teachers,12965,21314,1184,35463,36.6,57,31656,3750,0.16
1718,0,0,High Poverty Schools,4,Poverty Classifications,Principals,108,575,164,847,12.8,0,584,263,0
1718,0,0,High Poverty Schools,4,Poverty Classifications,Other,365,297,517,1179,31,2,801,376,0.17
1718,29,0,High Poverty Schools,4,Poverty Classifications,Teachers,608,1403,0,2011,30.2,19,1803,189,0.94
1718,29,0,High Poverty Schools,4,Poverty Classifications,Principals,2,45,7,54,3.7,0,4,50,0
1718,29,0,High Poverty Schools,4,Poverty Classifications,Other,12,15,42,69,17.4,0,4,65,0
1819,0,0,High Poverty Schools,4,Poverty Classifications,Teachers,11620,21336,1055,34011,34.2,46,29917,4048,0.14
1819,0,0,High Poverty Schools,4,Poverty Classifications,Principals,90,586,181,857,10.5,1,657,199,0.12
1819,0,0,High Poverty Schools,4,Poverty Classifications,Other,327,346,503,1176,27.8,0,864,312,0
1819,29,0,High Poverty Schools,4,Poverty Classifications,Teachers,590,1562,0,2152,27.4,23,1899,230,1.07
1819,29,0,High Poverty Schools,4,Poverty Classifications,Principals,3,48,8,59,5.1,0,3,56,0
1819,29,0,High Poverty Schools,4,Poverty Classifications,Other,29,25,24,78,37.2,0,6,72,0
1718,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Teachers,23275,67206,2476,92957,25,88,86579,6290,0.09
1718,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Principals,196,1266,251,1713,11.4,2,1049,662,0.12
1718,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Other,899,1340,848,3087,29.1,1,1916,1170,0.03
1718,29,0,Mid-Range Poverty Schools,5,Poverty Classifications,Teachers,2054,6556,0,8610,23.9,48,8187,375,0.56
1718,29,0,Mid-Range Poverty Schools,5,Poverty Classifications,Principals,4,137,9,150,2.7,0,3,147,0
1718,29,0,Mid-Range Poverty Schools,5,Poverty Classifications,Other,50,94,146,290,17.2,0,2,288,0
1819,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Teachers,24684,67818,1745,94247,26.2,66,87059,7122,0.07
1819,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Principals,203,1279,258,1740,11.7,0,1349,391,0
1819,0,0,Mid-Range Poverty Schools,5,Poverty Classifications,Other,902,1410,901,3213,28.1,0,2438,775,0
1819,29,0,Mid-Range Poverty Schools,5,Poverty Classifications,Teachers,1775,6068,3,7846,22.6,30,7392,424,0.38
1819,29,0,Mid-Range Poverty Schools,5,Poverty Classifications,Principals,0,130,14,144,0,0,4,140,0
1819,29,0,Mid-Range Poverty Schools,5,Poverty Classifications,Other,83,123,70,276,30.1,0,11,265,0
