year,district_number,LOCATION_DISTRICT,LOC_DISTRICT_NAME,district_name,school_number,school_name_l,school_name_s,website,collocated_number,PHONE_NUMBER,PHYSICAL_ADDRESS,PHYSICAL_CITY,PHYSICAL_STATE,PHYSICAL_ZIP,PRINCIPAL_LAST,PRINCIPAL_FIRST,PRINCIPAL_MI,LATITUDE,LONGITUDE,magnet_status,magnet_specialty,charter,title1,alt_schl,school_type,grade_1819,improvement_rating,final_pct,federal_index,gr_frmINDV,Feeder_School_flag,Receiving_Distenrl,Receiving_Schlenrl,TSI,CSI,total_students,Teacher_Count,CEP_Percentage,receiver_School_flag,feeder_distenrl,feeder_schlenrl,feeder_name,receiving_name
1819,00,,,STATEWIDE,0000,STATEWIDE,,,,,,,,,Corcoran,Richard,,,,,,,,,,,,,61,86.9,,,,,,2846857,176984,62.7,,,,,
1819,01,1,ALACHUA,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,A. L. MEBANE MIDDLE SCHOOL,,010221,(386)462-1648,16401 NW 140TH ST,ALACHUA,FL,32615-4422,BESSNER,MANDA,,29.80495,-82.49294,Z,Z,NO,NO,N,Middle School,C,,50,50,,N,,,Y,N,363,13,85.4,,,,,
1819,01,1,ALACHUA,ALACHUA,0052,A. QUINN JONES CENTER,A.QUINN JONES CENTER,,010052,(352)955-6840,1108 NW 7TH AVE,GAINESVILLE,FL,32601-4949,JONES,DARIN,D,29.65841,-82.33620,Z,Z,NO,YES,A,Combination School,,,,30,*,N,,,N,Y,83,16,100.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,ABRAHAM LINCOLN MIDDLE SCHOOL,,010112,(352)955-6711,1001 SE 12TH ST,GAINESVILLE,FL,32641-8101,STRAPPY,LATROY,,29.64094,-82.31092,P,A,NO,NO,N,Middle School,B,,60,60,,N,,,Y,N,647,32,71.9,,,,,
1819,01,1,ALACHUA,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,ALACHUA ELEMENTARY SCHOOL,,010161,(386)462-1841,13800 NW 152ND PL,ALACHUA,FL,32615-4433,HARBOUR,HEATHER,,29.79541,-82.49245,Z,Z,NO,YES,N,Elementary School,C,,47,47,,N,,,Y,N,334,22,100.0,,,,,
1819,01,1,ALACHUA,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),ALACHUA ESCHOOL (VIRTUAL FRANCHISE),,017004,(352)955-7584,2802 NE 8TH AVE,GAINESVILLE,FL,32641-4836,STEFANSEN,EDWIN,,29.65924,-82.31904,Z,Z,NO,NO,N,Combination School,,,,46,80.0,N,,,N,Y,120,2,34.2,,,,,
1819,01,1,ALACHUA,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,ALACHUA LEARNING ACADEMY ELEMENTARY,,010957,(386)418-2080,11100 W STATE ROAD 235,ALACHUA,FL,32615-4965,RIVERA,KRISHNA,,29.81371,-82.46464,Z,Z,YES,YES,N,Elementary School,A,,77,77,,N,,,N,N,112,.,49.1,,,,,
1819,01,1,ALACHUA,ALACHUA,1011,ALACHUA LEARNING ACADEMY MIDDLE,ALACHUA LEARNING ACADEMY MIDDLE,,011011,(386)418-2080,11100 W STATE ROAD 235,ALACHUA,FL,32615-4965,RIVERA,KRISHNA,,29.81371,-82.46464,Z,Z,YES,NO,N,Middle School,A,,70,70,,N,,,N,N,52,.,57.7,,,,,
1819,01,1,ALACHUA,ALACHUA,0000,ALACHUA SCHOOL DISTRICT,,,,,620 E UNIVERSITY AVE,GAINESVILLE,FL,32601-5448,Clarke,Karen,,29.65273,-82.31894,,,,,,,A,,62,62,88.5,,,,,,29845,1413,63.9,,,,,
1819,01,1,ALACHUA,ALACHUA,7023,ALACHUA VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED),ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),,017023,(352)955-7584,2802 NE 8TH AVE,GAINESVILLE,FL,32641-4836,STEFANSEN,EDWIN,,29.65924,-82.31904,Z,Z,NO,NO,N,Elementary School,,,,47,,N,,,N,N,40,.,30.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0171,ARCHER ELEMENTARY,ARCHER ELEMENTARY,,010171,(352)495-2111,14533 SW 170TH ST,ARCHER,FL,32618-4621,ARDUSER,STELLA,,29.52015,-82.52259,P,A,NO,YES,N,Elementary School,C,,53,53,,N,,,Y,N,545,32,80.7,,,,,
1819,01,1,ALACHUA,ALACHUA,1012,BOULWARE SPRINGS CHARTER,BOULWARE SPRINGS CHARTER,,011012,(352)244-9732,1303 NE 23RD AVE,GAINESVILLE,FL,32609,ABBITT,KAY,,29.67323,-82.30844,Z,Z,YES,YES,N,Elementary School,A,,63,63,,N,,,N,N,159,.,100.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,C. W. NORTON ELEMENTARY SCHOOL,,010541,(352)955-6765,2200 NW 45TH AVE,GAINESVILLE,FL,32605-1331,MAYO,ELENA,,29.69696,-82.35440,Z,Z,NO,YES,N,Elementary School,B,,54,54,,N,,,Y,N,687,41,78.5,,,,,
1819,01,1,ALACHUA,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,CARING & SHARING LEARNING SCHOOL,,010953,(352)372-1004,1951 SE 4TH ST,GAINESVILLE,FL,32641-8718,PETERSON,CURTIS,,29.63370,-82.31537,Z,Z,YES,YES,N,Elementary School,D,,40,40,,N,,,Y,Y,223,.,100.0,,,,,
1819,01,1,ALACHUA,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHOOL,CHESTER SHELL ELEMENTARY SCHL,,010281,(352)481-1901,21633 SE 65TH AVE,HAWTHORNE,FL,32640-3518,BURTON,HOLLY,,29.59380,-82.09106,Z,Z,NO,YES,N,Elementary School,C,,44,44,,N,,,Y,N,365,24,100.0,,,,,
